Date,Open,High,Low,Close,Adj Close,Volume
2022-07-13,4986.000000,4986.000000,4838.000000,4907.000000,4906.554688,8855
2022-07-14,4999.000000,4999.000000,4521.500000,4569.000000,4568.585449,10053
2022-07-15,4505.000000,4680.500000,4500.000000,4661.000000,4660.576660,4729
2022-07-18,4788.000000,4890.000000,4725.000000,4764.500000,4764.067383,17543
2022-07-19,4833.000000,5090.000000,4833.000000,5083.500000,5083.038574,11030
2022-07-20,5050.000000,5245.000000,5050.000000,5232.500000,5232.024902,812
2022-07-21,5236.000000,5677.500000,5236.000000,5617.500000,5616.990234,15603
2022-07-22,5600.000000,5600.000000,5330.500000,5375.000000,5374.512207,5892
2022-07-25,5506.000000,5639.000000,5408.500000,5635.000000,5634.488281,1466
2022-07-26,5632.500000,5678.500000,5482.500000,5625.500000,5624.989258,2099
2022-07-27,5623.000000,5770.000000,5544.500000,5768.000000,5767.476563,493
2022-07-28,5749.000000,5749.000000,5369.000000,5502.000000,5501.500488,15335
2022-07-29,5460.000000,5470.000000,5006.500000,5161.500000,5161.031250,14445
2022-08-01,5000.000000,5000.000000,4800.000000,4939.500000,4939.051758,2967
2022-08-02,4920.000000,5053.500000,4920.000000,5016.000000,5015.544434,12083
2022-08-03,5050.000000,5050.000000,4828.000000,4908.500000,4908.054199,14206
2022-08-04,4800.000000,5105.000000,4800.000000,5036.000000,5035.542969,5605
2022-08-05,5020.000000,5186.500000,4920.000000,4925.000000,4924.552734,10886
2022-08-08,4925.000000,4925.000000,4650.000000,4814.000000,4813.562988,11230
2022-08-09,4815.000000,4852.500000,4750.000000,4846.000000,4845.560059,12574
2022-08-10,4958.000000,5064.500000,4958.000000,5006.500000,5006.045410,18226
2022-08-11,5046.000000,5150.000000,5000.500000,5024.000000,5023.543945,2154
2022-08-12,5036.000000,5132.500000,4980.000000,5074.000000,5073.539551,7207
2022-08-16,5050.000000,5050.000000,4899.000000,4944.500000,4944.051270,22827
2022-08-17,4889.000000,4889.000000,4740.000000,4806.500000,4806.063477,2939
2022-08-18,4771.000000,4919.000000,4771.000000,4885.500000,4885.056641,19232
2022-08-19,4818.500000,4901.500000,4800.000000,4890.500000,4890.056152,12153
2022-08-22,4846.000000,4846.000000,4736.500000,4768.000000,4767.567383,11724
2022-08-23,4950.000000,5000.000000,4852.000000,4916.000000,4915.553711,4213
2022-08-24,4933.000000,4933.000000,4782.500000,4842.000000,4841.560547,18231
2022-08-25,4842.000000,5047.000000,4842.000000,5042.000000,5041.542480,3499
2022-08-26,5041.000000,5041.000000,4714.500000,4749.500000,4749.068848,16391
2022-08-29,4749.000000,4836.500000,4737.000000,4824.500000,4824.062012,5615
2022-08-30,4750.000000,4750.000000,4620.000000,4625.000000,4624.580078,6123
2022-08-31,4600.000000,4650.000000,4550.000000,4565.500000,4565.085449,10058
2022-09-01,4413.000000,4413.000000,4282.000000,4283.000000,4282.611328,2697
2022-09-05,4291.000000,4300.000000,4281.000000,4298.500000,4298.109863,828
2022-09-06,4270.500000,4270.500000,4171.000000,4182.000000,4181.620605,2908
2022-09-07,4150.000000,4174.000000,4081.500000,4160.500000,4160.122559,22813
2022-09-08,4175.000000,4365.000000,4175.000000,4328.500000,4328.106934,15832
2022-09-09,4497.000000,4497.000000,4420.000000,4490.500000,4490.092285,2513
2022-09-12,4505.000000,4532.500000,4409.000000,4427.000000,4426.598145,1882
2022-09-13,4420.000000,4420.000000,4279.500000,4280.000000,4279.611328,12418
2022-09-14,4200.000000,4200.000000,4105.000000,4123.000000,4122.625488,1676
2022-09-15,4208.500000,4249.000000,4103.000000,4240.000000,4239.615234,13495
2022-09-16,4196.000000,4301.000000,4196.000000,4276.000000,4275.611816,2736
2022-09-19,4250.000000,4480.000000,4250.000000,4465.000000,4464.594727,13016
2022-09-20,4405.500000,4405.500000,4256.000000,4365.000000,4364.603516,13608
2022-09-21,4387.000000,4520.000000,4375.000000,4445.500000,4445.096680,1048
2022-09-22,4521.000000,4625.000000,4521.000000,4617.000000,4616.581055,2350
2022-09-23,4502.000000,4502.000000,4314.000000,4357.500000,4357.104492,13938
2022-09-26,4300.000000,4313.000000,4086.000000,4181.000000,4180.620605,23195
2022-09-27,4186.000000,4265.000000,4131.000000,4199.000000,4198.618652,18329
2022-09-28,4176.000000,4230.000000,4155.000000,4230.000000,4229.616211,12071
2022-09-29,4174.000000,4211.500000,4130.000000,4130.000000,4129.625000,626
2022-09-30,4183.500000,4271.500000,4183.500000,4260.500000,4260.113281,1319
2022-10-03,4396.000000,4485.500000,4396.000000,4476.500000,4476.093750,7472
2022-10-04,4500.000000,4650.000000,4500.000000,4608.000000,4607.581543,4639
2022-10-05,4503.000000,4586.000000,4460.500000,4574.000000,4573.584961,1892
2022-10-06,4479.000000,4520.000000,4351.500000,4402.000000,4401.600586,1831
2022-10-11,4380.000000,4402.000000,4300.000000,4302.000000,4301.609375,7580
2022-10-12,4389.500000,4390.000000,4274.000000,4380.000000,4379.602539,710
2022-10-13,4340.000000,4550.000000,4339.000000,4546.500000,4546.087402,22574
2022-10-14,4380.000000,4380.000000,4235.000000,4241.000000,4240.615234,2183
2022-10-17,4325.000000,4325.000000,4249.000000,4249.000000,4248.614258,13591
2022-10-18,4299.500000,4299.500000,4165.000000,4191.000000,4190.619629,509
2022-10-19,4185.000000,4200.000000,4136.000000,4160.000000,4159.622559,1120
2022-10-20,4200.500000,4273.500000,4156.000000,4199.000000,4198.618652,1089
2022-10-21,4321.000000,4402.500000,4288.000000,4391.000000,4390.601563,1874
2022-10-24,4331.500000,4359.500000,4275.000000,4312.500000,4312.108398,957
2022-10-25,4300.000000,4410.500000,4289.500000,4402.500000,4402.100586,17728
2022-10-26,4420.000000,4541.000000,4420.000000,4440.500000,4440.096680,18706
2022-10-27,4368.500000,4477.000000,4368.500000,4425.500000,4425.098145,7365
2022-10-28,4382.000000,4467.500000,4264.500000,4373.500000,4373.103027,7151
2022-10-31,4367.000000,4456.000000,4367.000000,4424.500000,4424.098145,11154
2022-11-01,4497.500000,4500.000000,4393.000000,4418.500000,4418.099121,12497
2022-11-02,4336.000000,4348.000000,4200.000000,4202.500000,4202.118652,3195
2022-11-03,4160.000000,4236.000000,4064.500000,4236.000000,4235.615234,2061
2022-11-04,4500.000000,4730.000000,4500.000000,4702.000000,4701.573242,51507
2022-11-07,4605.000000,4780.000000,4601.000000,4642.000000,4641.578613,5304
2022-11-08,4645.000000,4735.000000,4630.000000,4665.000000,4664.576660,7044
2022-11-09,4654.000000,4664.000000,4500.000000,4550.000000,4549.586914,6296
2022-11-10,4505.000000,4750.000000,4500.000000,4744.000000,4743.569336,3187
2022-11-11,4844.000000,5032.000000,4843.000000,4958.000000,4957.549805,4553
2022-11-14,4956.000000,5058.000000,4805.000000,5040.000000,5040.000000,11756
2022-11-15,5063.000000,5185.000000,5007.000000,5160.000000,5160.000000,20715
2022-11-16,4761.000000,5200.000000,4761.000000,5120.000000,5120.000000,2991
2022-11-17,5143.500000,5265.000000,5114.500000,5264.000000,5264.000000,398
2022-11-18,5251.000000,5298.500000,5097.500000,5097.500000,5097.500000,6915
